STATUS | wrapper  | 2013/07/09 14:33:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 14:33:07 | Java Service Wrapper Community Edition 32-bit 3.5.19
STATUS | wrapper  | 2013/07/09 14:33:07 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 14:33:07 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 14:33:07 | 
STATUS | wrapper  | 2013/07/09 14:33:08 | Launching a JVM...
FATAL  | wrapper  | 2013/07/09 14:33:08 | Unable to execute Java command.  A rendszer nem találja a megadott fájlt. (0x2)
FATAL  | wrapper  | 2013/07/09 14:33:08 |     "c:\Program Files\Java\jdk1.7.0\bin\java\bin\java" -Djava.library.path="../lib" -classpath "c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/lib/wrapper.jar;c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/bin/run.jar;c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/lib/tools.jar" -Dwrapper.key="2_Ujfl4Ype9XpTe4" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=3248 -Dwrapper.version="3.5.19" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp main.Main
ADVICE | wrapper  | 2013/07/09 14:33:08 | 
ADVICE | wrapper  | 2013/07/09 14:33:08 | --------------------------------------------------------------------
ADVICE | wrapper  | 2013/07/09 14:33:08 | Advice:
ADVICE | wrapper  | 2013/07/09 14:33:08 | Usually when the Wrapper fails to start the JVM process, it is
ADVICE | wrapper  | 2013/07/09 14:33:08 | because of a problem with the value of the configured Java command.
ADVICE | wrapper  | 2013/07/09 14:33:08 | Currently:
ADVICE | wrapper  | 2013/07/09 14:33:08 | wrapper.java.command=c:\Program Files\Java\jdk1.7.0\bin\java\bin\java
ADVICE | wrapper  | 2013/07/09 14:33:08 | Please make sure that the PATH or any other referenced environment
ADVICE | wrapper  | 2013/07/09 14:33:08 | variables are correctly defined for the current environment.
ADVICE | wrapper  | 2013/07/09 14:33:08 | --------------------------------------------------------------------
ADVICE | wrapper  | 2013/07/09 14:33:08 | 
FATAL  | wrapper  | 2013/07/09 14:33:09 | Critical error: wait for JVM process failed
STATUS | wrapper  | 2013/07/09 14:34:23 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 14:34:23 | Java Service Wrapper Community Edition 32-bit 3.5.19
STATUS | wrapper  | 2013/07/09 14:34:23 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 14:34:23 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 14:34:23 | 
STATUS | wrapper  | 2013/07/09 14:34:24 | Launching a JVM...
FATAL  | wrapper  | 2013/07/09 14:34:24 | Unable to execute Java command.  A rendszer nem találja a megadott fájlt. (0x2)
FATAL  | wrapper  | 2013/07/09 14:34:24 |     "c:\Program Files\Java\jdk1.7.0\bin\java.exe\bin\java" -Djava.library.path="../lib" -classpath "c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/lib/wrapper.jar;c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/bin/run.jar;c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\/lib/tools.jar" -Dwrapper.key="2Vj6asiaI_P1LfIh" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=4312 -Dwrapper.version="3.5.19" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp main.Main
ADVICE | wrapper  | 2013/07/09 14:34:24 | 
ADVICE | wrapper  | 2013/07/09 14:34:24 | --------------------------------------------------------------------
ADVICE | wrapper  | 2013/07/09 14:34:24 | Advice:
ADVICE | wrapper  | 2013/07/09 14:34:24 | Usually when the Wrapper fails to start the JVM process, it is
ADVICE | wrapper  | 2013/07/09 14:34:24 | because of a problem with the value of the configured Java command.
ADVICE | wrapper  | 2013/07/09 14:34:24 | Currently:
ADVICE | wrapper  | 2013/07/09 14:34:24 | wrapper.java.command=c:\Program Files\Java\jdk1.7.0\bin\java.exe\bin\java
ADVICE | wrapper  | 2013/07/09 14:34:24 | Please make sure that the PATH or any other referenced environment
ADVICE | wrapper  | 2013/07/09 14:34:24 | variables are correctly defined for the current environment.
ADVICE | wrapper  | 2013/07/09 14:34:24 | --------------------------------------------------------------------
ADVICE | wrapper  | 2013/07/09 14:34:24 | 
FATAL  | wrapper  | 2013/07/09 14:34:24 | Critical error: wait for JVM process failed
STATUS | wrapper  | 2013/07/09 14:35:15 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 14:35:15 | Java Service Wrapper Community Edition 32-bit 3.5.19
STATUS | wrapper  | 2013/07/09 14:35:15 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 14:35:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 14:35:15 | 
STATUS | wrapper  | 2013/07/09 14:35:17 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\bin\..\lib\wrapper.dll
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 1    | 2013/07/09 14:35:17 | 
INFO   | jvm 1    | 2013/07/09 14:35:17 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2013/07/09 14:35:17 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2013/07/09 14:35:17 | 
INFO   | jvm 1    | 2013/07/09 14:35:17 | Where:
INFO   | jvm 1    | 2013/07/09 14:35:17 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2013/07/09 14:35:17 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2013/07/09 14:35:17 |                   application.
ERROR  | wrapper  | 2013/07/09 14:35:19 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:35:24 | Launching a JVM...
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager: Initializing...
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager: 
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           could not be loaded:
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\bin\..\lib\wrapper.dll
